,Nu,Mu,Alpha,Cost,Lambda
404,0.395,0.1,-25.0,1.196746194245493,0.3761904761904763
405,0.395,0.1,-24.0,1.2106202431867965,0.3761904761904763
406,0.395,0.1,-23.0,1.2236285098076598,0.3761904761904763
407,0.395,0.1,-22.0,1.2358235138869855,0.3761904761904763
408,0.395,0.1,-21.0,1.2472593035947976,0.3761904761904763
409,0.395,0.1,-20.0,1.2579918779426025,0.3761904761904763
410,0.4,0.1,-60.0,1.8870998043027087,0.4000000000000002
411,0.4,0.1,-59.0,1.5439018171619672,0.4000000000000002
412,0.4,0.1,-58.0,1.276950051132753,0.4000000000000002
413,0.4,0.1,-57.0,1.0720394529094113,0.4000000000000002
414,0.4,0.1,-56.0,0.9174678411235184,0.4000000000000002
415,0.4,0.1,-55.0,0.8036036821648,0.4000000000000002
416,0.4,0.1,-54.0,0.7225280463746535,0.4000000000000002
417,0.4,0.1,-53.0,0.6677380165613244,0.4000000000000002
418,0.4,0.1,-52.0,0.6339010094937982,0.4000000000000002
419,0.4,0.1,-51.0,0.6166512811231334,0.4000000000000002
420,0.4,0.1,-50.0,0.6124213849862453,0.4000000000000002
