Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
4.299999999999997,2794.733803704321,-2.308989520856166e-10
4.309999999999998,2801.4463169351043,-9.772712200399705e-11
4.319999999999998,2808.157440552866,6.49119395727019e-11
4.329999999999997,2814.867184622113,-1.883640553425003e-10
4.339999999999997,2821.575559085927,2.0932079358051716e-10
4.349999999999998,2828.28257376723,1.4914430449597963e-10
4.359999999999998,2834.9882383708577,1.7388272156032815e-10
4.369999999999997,2841.6925624849364,1.8543108263655239e-10
4.379999999999997,2848.395555582549,2.2731306765501017e-11
4.389999999999998,2855.097227023365,2.6549523959616814e-11
4.399999999999998,2861.7975860551023,2.2592280031521712e-10
4.4099999999999975,2868.496641815016,-3.801249294949756e-11
4.419999999999997,2875.194403331616,-7.040122231062093e-11
4.429999999999997,2881.8908795259026,-4.571626097121185e-11
4.439999999999998,2888.586079212944,9.725445319363464e-11
4.4499999999999975,2895.280011103221,-1.2408846532268387e-10
4.459999999999997,2901.972683804206,-1.6053693308264377e-10
4.469999999999997,2908.664105821564,-1.071421135926445e-10
4.479999999999998,2915.3542855605956,-6.129112032333491e-11
4.4899999999999975,2922.043231327597,1.073766634165808e-10
4.499999999999997,2928.7309513311075,-7.678123041735873e-12
4.509999999999997,2935.417453683334,-1.5949433921418618e-10
4.519999999999998,2942.1027464013605,-1.538963023086482e-10
4.529999999999998,2948.7868374083805,-9.243775058286228e-11
4.539999999999997,2955.469734534972,-1.2723919740024896e-10
4.549999999999997,2962.1514455203483,-1.9878425845953507e-10
4.559999999999998,2968.8319780135357,-2.279782852942571e-10
4.569999999999998,2975.511339574593,1.5666144915345372e-10
4.579999999999997,2982.1895376756174,-2.7106268815688358e-11
4.589999999999997,2988.866579702209,8.722033445614248e-11
4.599999999999997,2995.542472954301,1.3388033852495984e-10
4.609999999999998,3002.2172246474042,-1.9229338117391924e-10
4.619999999999997,3008.8908419138324,1.4583131512594713e-10
4.629999999999997,3015.5633318034324,-3.892950433567551e-12
4.639999999999997,3022.234701285072,2.1628687863673234e-10
4.649999999999998,3028.9049572473377,1.5409607330466966e-10
4.6599999999999975,3035.5741064997965,-5.076847174421282e-11
4.669999999999997,3042.2421557739567,-8.405130071674225e-11
4.679999999999997,3048.90911172421,-6.261525963753967e-11
4.689999999999998,3055.5749809288573,-1.4299020201793112e-10
4.6999999999999975,3062.2397698911227,-1.4117835599964582e-10
4.709999999999997,3068.9034850400576,-1.1580807322201355e-10
4.719999999999997,3075.56613273152,3.929768987316094e-11
4.729999999999998,3082.2277192490556,-1.966917891849526e-12
4.7399999999999975,3088.8882508048987,-3.937897800261165e-11
4.749999999999997,3095.547733540828,3.153564040547995e-11
4.759999999999997,3102.2061735290486,2.229494264947877e-10
4.769999999999997,3108.8635767730148,-1.4417701872318952e-10
4.779999999999998,3115.5199492085303,-9.885245852159473e-12
4.789999999999997,3122.1752967042685,-4.3539503283235976e-11
